划分	病例数	Artery成功率	Vein成功率	两类同时成功率	Artery mIoU	Vein mIoU
train	300	100.0%	100.0%	100.0%	0.9303	0.9330
val	76	90.8%	90.8%	85.5%	0.7788	0.7759
