参数名	默认值	说明
interval	15	每隔 15 帧尝试添加一个新的条件帧
min_conf	0.3	仅当动脉和静脉置信度均达到阈值时才添加提示
max_prompts	5	最多添加 5 个额外条件帧，避免提示过多相互干扰
